service_id,date,exception_type
1,20240205,1
2,20240206,1
3,20240207,1
4,20240208,1
5,20240209,1
6,20240210,1
7,20240211,1
8,20240212,1
9,20240213,1
3,20240214,1
4,20240215,1
5,20240216,1
6,20240217,1
7,20240218,1
1,20240219,1
2,20240220,1
3,20240221,1
4,20240222,1
5,20240223,1
6,20240224,1
7,20240225,1
1,20240226,1
2,20240227,1
3,20240228,1
4,20240229,1
5,20240301,1
6,20240302,1
7,20240303,1
1,20240304,1
2,20240305,1
3,20240306,1
4,20240307,1
5,20240308,1
6,20240309,1
7,20240310,1
1,20240311,1
2,20240312,1
3,20240313,1
4,20240314,1
5,20240315,1
6,20240316,1
7,20240317,1
1,20240318,1
2,20240319,1
3,20240320,1
4,20240321,1
5,20240322,1
6,20240323,1
7,20240324,1
8,20240325,1
9,20240326,1
10,20240327,1
11,20240328,1
7,20240329,1
6,20240330,1
7,20240331,1
7,20240401,1
9,20240402,1
10,20240403,1
11,20240404,1
12,20240405,1
6,20240406,1
7,20240407,1
1,20240408,1
2,20240409,1
3,20240410,1
4,20240411,1
5,20240412,1
6,20240413,1
13,20240414,1
1,20240415,1
2,20240416,1
3,20240417,1
4,20240418,1
5,20240419,1
6,20240420,1
13,20240421,1
1,20240422,1
2,20240423,1
3,20240424,1
4,20240425,1
5,20240426,1
6,20240427,1
13,20240428,1
1,20240429,1
2,20240430,1
7,20240501,1
4,20240502,1
5,20240503,1
6,20240504,1
13,20240505,1
1,20240506,1
2,20240507,1
3,20240508,1
7,20240509,1
12,20240510,1
6,20240511,1
13,20240512,1
1,20240513,1
2,20240514,1
3,20240515,1
4,20240516,1
5,20240517,1
6,20240518,1
7,20240519,1
7,20240520,1
9,20240521,1
3,20240522,1
4,20240523,1
5,20240524,1
6,20240525,1
13,20240526,1
1,20240527,1
2,20240528,1
3,20240529,1
7,20240530,1
12,20240531,1
6,20240601,1
13,20240602,1
