stop_id,stop_code,stop_name,stop_desc,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,stop_lat,stop_lon
4074101P,,Alexianer-Campus,,,,1,,,,51.8769175,7.566482499999999
4074301P,,Alexianerweg,,,,1,,,,51.877732,7.559522
4074601P,,Kannenweg,,,,1,,,,51.884452,7.5706805
4074801P,,Hansa-BusinessPark,,,,1,,,,51.889836,7.5781279999999995
4075101P,,Wiedau,,,,1,,,,51.894614000000004,7.5793064999999995
4075401P,,Getterbach,,,,1,,,,51.917626999999996,7.598719
4075601P,,Holtschulte,,,,1,,,,51.911394,7.592344
4100001P,,Hauptbahnhof,,,,1,,,,51.9570315,7.633941
4102101P,,Ludgeriplatz,,,,1,,,,51.955986499999995,7.627564
4103202P,,Königsstraße,,,,1,,,,51.957841,7.626264
4104101P,,Prinzipalmarkt,,,,1,,,,51.9625075,7.628362
4104401P,,Domplatz,,,,1,,,,51.962092,7.62628
4104801P,,Altstadt/Bült,,,,1,,,,51.963983999999996,7.630536
4105101P,,Eisenbahnstraße,,,,1,,,,51.961374000000006,7.6352495000000005
4106101P,,Servatiiplatz,,,,1,,,,51.9592445,7.635292
4107101P,,Raphaelsklinik,,,,1,,,,51.959289,7.629464
4109101P,,Piusallee,,,,1,,,,51.966447,7.6382965
4110501P,,Hörstertor,,,,1,,,,51.965903,7.6345535
4110601P,,Standesamt,,,,1,,,,51.96552,7.632766
4112101P,,Neubrückentor,,,,1,,,,51.9677345,7.629970999999999
4113101P,,Maximilianstr.,,,,1,,,,51.9700735,7.6312815
4114101P,,Kolpingstraße,,,,1,,,,51.970078,7.6343815
4116101P,,Pumpenhaus/Lublinring,,,,1,,,,51.9723645,7.6360605
4117101P,,Kanalstraße,,,,1,,,,51.972018,7.632307
4120101P,,Langemarckstr.,,,,1,,,,51.973997499999996,7.6286439999999995
4121101P,,Cheruskerring,,,,1,,,,51.974442,7.6228385
4122001P,,Nordplatz,,,,1,,,,51.972297499999996,7.6227730000000005
4123101P,,Polizeipräsidium/LWL,,,,1,,,,51.974587,7.6183440000000004
4125001P,,Dreifaltigkeitskirche,,,,1,,,,51.974301,7.6126305
4126001P,,Kanonierplatz,,,,1,,,,51.9716475,7.6125264999999995
4127101P,,Hoyastraße,,,,1,,,,51.970093500000004,7.622179
4128101P,,Kreuzschanze,,,,1,,,,51.9674895,7.623175
4129101P,,Tibusstr.,,,,1,,,,51.965296,7.626982
4132101P,,Münzstr.,,,,1,,,,51.966703,7.6197435
4133101P,,Steinfurter Str.,,,,1,,,,51.9684685,7.6135635
4134101P,,THEATER Münster,,,,1,,,,51.96509,7.628982
4135101P,,Wilhelmstraße,,,,1,,,,51.9672935,7.6122464999999995
4136101P,,Landgericht/Schlossplatz,,,,1,,,,51.961962,7.615524499999999
4140101P,,Schützenstraße,,,,1,,,,51.958299999999994,7.621354500000001
4141101P,,St.-Antonius-Kirche,,,,1,,,,51.9552405,7.6214195
4142102P,,Scharnhorststr.,,,,1,,,,51.954915,7.618949
4143201P,,Bismarckallee,,,,1,,,,51.956244,7.618108
