route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
5,1,1_100001_2_5_4,Hiltrup Bahnhof,,,,5_8_1,,
5,1,1_100001_3_5_4,Nienberge Hannaschweg,,,,5_5_1,,
5,1,1_100001_4_5_4,Hiltrup Bahnhof,,,,5_8_1,,
5,1,1_100001_5_5_4,Nienberge Hannaschweg,,,,5_5_1,,
5,1,1_100001_6_5_4,Hiltrup Bahnhof,,,,5_8_1,,
5,1,1_100001_7_5_4,Nienberge Hannaschweg,,,,5_5_1,,
5,1,1_100001_8_5_4,Hiltrup Bahnhof,,,,5_8_1,,
5,1,1_100001_9_5_4,Nienberge Hannaschweg,,,,5_5_1,,
5,1,1_100001_10_5_4,Hiltrup Bahnhof,,,,5_8_1,,
5,1,1_100001_11_5_4,Nienberge Hannaschweg,,,,5_5_1,,
5,1,1_100001_12_5_4,Hiltrup Bahnhof,,,,5_8_1,,
15,1,1_100002_2_15_14,Kinderhaus Brüningheide,,,,15_9_1,,
16,1,1_100002_3_16_14,Mecklenbeck Meckmannweg,,,,16_2_1,,
16,1,1_100002_4_16_14,Kinderhaus Brüningheide,,,,16_1_1,,
16,1,1_100002_5_16_14,Mecklenbeck Meckmannweg,,,,16_2_1,,
16,1,1_100002_6_16_14,Kinderhaus Brüningheide,,,,16_1_1,,
16,1,1_100002_7_16_14,Mecklenbeck Meckmannweg,,,,16_2_1,,
16,1,1_100002_8_16_14,Kinderhaus Brüningheide,,,,16_1_1,,
16,1,1_100002_9_16_14,Mecklenbeck Meckmannweg,,,,16_2_1,,
16,1,1_100002_10_16_14,Kinderhaus Brüningheide,,,,16_1_1,,
16,1,1_100002_11_16_14,Mecklenbeck Meckmannweg,,,,16_2_1,,
16,1,1_100002_12_16_14,Kinderhaus Brüningheide,,,,16_1_1,,
16,1,1_100002_13_16_14,Mecklenbeck Meckmannweg,,,,16_2_1,,
16,1,1_100002_14_16_14,Kinderhaus Brüningheide,,,,16_1_1,,
82,1,1_100002_16_82_14,Hiltrup Franz-Marc-Weg,,,,82_810_1,,
82,1,1_100002_17_82_14,Rudolf-Diesel-Straße,,,,82_811_1,,
82,1,1_100002_18_82_14,Hiltrup Franz-Marc-Weg,,,,82_810_1,,
10,1,1_100003_2_10_8,Mecklenbeck Waldweg,,,,10_408_1,,
10,1,1_100003_3_10_8,Handorf Hornheide,,,,10_315_1,,
10,1,1_100003_5_10_8,Mecklenbeck Meckmannweg,,,,10_4_1,,
10,1,1_100003_6_10_8,Handorf Hornheide,,,,10_7_1,,
10,1,1_100003_8_10_8,Mecklenbeck Waldweg,,,,10_408_1,,
10,1,1_100003_9_10_8,Handorf Hornheide,,,,10_315_1,,
10,1,1_100003_11_10_8,Mecklenbeck Meckmannweg,,,,10_4_1,,
10,1,1_100003_12_10_8,Handorf Hornheide,,,,10_7_1,,
10,1,1_100003_14_10_8,Mecklenbeck Waldweg,,,,10_408_1,,
10,1,1_100003_15_10_8,Handorf Hornheide,,,,10_315_1,,
10,1,1_100003_17_10_8,Mecklenbeck Meckmannweg,,,,10_4_1,,
10,1,1_100003_18_10_8,Handorf Hornheide,,,,10_7_1,,
10,1,1_100003_20_10_8,Mecklenbeck Waldweg,,,,10_408_1,,
1,1,1_100004_2_1_6,Amelsbüren Bahnhof,,,,1_24_1,,
1,1,1_100004_3_1_6,Roxel Hallenbad,,,,1_11_1,,
1,1,1_100004_4_1_6,Amelsbüren Bahnhof,,,,1_24_1,,
1,1,1_100004_5_1_6,Roxel Hallenbad,,,,1_11_1,,
1,1,1_100004_6_1_6,Amelsbüren Bahnhof,,,,1_24_1,,
1,1,1_100004_7_1_6,Roxel Hallenbad,,,,1_11_1,,
1,1,1_100004_8_1_6,Amelsbüren Bahnhof,,,,1_24_1,,
1,1,1_100004_9_1_6,Roxel Hallenbad,,,,1_11_1,,
1,1,1_100004_10_1_6,Amelsbüren Bahnhof,,,,1_24_1,,
1,1,1_100004_11_1_6,Roxel Hallenbad,,,,1_11_1,,
80,1,1_100004_12_80_6,Hauptbahnhof,,,,80_4_1,,
80,1,1_100004_14_80_6,Roxel,,,,80_11_1,,
11,1,1_100005_2_11_9,Tannenhof,,,,11_6_1,,
11,1,1_100005_3_11_9,Gievenbeck Dieckmannstr.,,,,11_3_1,,
11,1,1_100005_4_11_9,Tannenhof,,,,11_6_1,,
11,1,1_100005_5_11_9,Gievenbeck Dieckmannstr.,,,,11_3_1,,
11,1,1_100005_6_11_9,Tannenhof,,,,11_6_1,,
11,1,1_100005_7_11_9,Gievenbeck Dieckmannstr.,,,,11_3_1,,
11,1,1_100005_8_11_9,Tannenhof,,,,11_6_1,,
11,1,1_100005_9_11_9,Gievenbeck Dieckmannstr.,,,,11_3_1,,
11,1,1_100005_10_11_9,Tannenhof,,,,11_6_1,,
11,1,1_100005_11_11_9,Gievenbeck Dieckmannstr.,,,,11_3_1,,
11,1,1_100005_12_11_9,Tannenhof,,,,11_6_1,,
11,1,1_100005_13_11_9,Gievenbeck Dieckmannstr.,,,,11_3_1,,
11,1,1_100005_14_11_9,Tannenhof,,,,11_6_1,,
84,1,1_100005_15_84_9,Albachten Bahnhof,,,,84_10_1,,
84,1,1_100005_16_84_9,Tannenhof,,,,84_17_1,,
4,1,1_100006_2_4_5,Clemenshospital,,,,4_2_1,,
4,1,1_100006_4_4_5,Gelmer,,,,4_5_1,,
4,1,1_100006_5_4_5,Clemenshospital,,,,4_6_1,,
4,1,1_100006_7_4_5,Gelmer,,,,4_5_1,,
4,1,1_100006_8_4_5,Clemenshospital,,,,4_6_1,,
4,1,1_100006_10_4_5,Gelmer,,,,4_7_1,,
4,1,1_100006_11_4_5,Clemenshospital,,,,4_2_1,,
4,1,1_100006_13_4_5,Gelmer,,,,4_5_1,,
4,1,1_100006_14_4_5,Clemenshospital,,,,4_6_1,,
4,1,1_100006_16_4_5,Gelmer,,,,4_7_1,,
4,1,1_100006_17_4_5,Clemenshospital,,,,4_2_1,,
4,1,1_100006_19_4_5,Gelmer,,,,4_5_1,,
4,1,1_100006_20_4_5,Clemenshospital,,,,4_6_1,,
15,1,1_100007_2_15_3,Albachten Bahnhof,,,,15_8_1,,
15,1,1_100007_3_15_3,Kinderhaus Brüningheide,,,,15_9_1,,
15,1,1_100007_4_15_3,Albachten Bahnhof,,,,15_8_1,,
15,1,1_100007_5_15_3,Kinderhaus Brüningheide,,,,15_9_1,,
15,1,1_100007_6_15_3,Albachten Bahnhof,,,,15_8_1,,
15,1,1_100007_7_15_3,Kinderhaus Brüningheide,,,,15_9_1,,
15,1,1_100007_8_15_3,Albachten Bahnhof,,,,15_8_1,,
15,1,1_100007_9_15_3,Kinderhaus Brüningheide,,,,15_9_1,,
15,1,1_100007_10_15_3,Albachten Bahnhof,,,,15_8_1,,
15,1,1_100007_11_15_3,Kinderhaus Brüningheide,,,,15_9_1,,
15,1,1_100007_12_15_3,Albachten Bahnhof,,,,15_8_1,,
15,1,1_100007_13_15_3,Kinderhaus Brüningheide,,,,15_9_1,,
